x,CDF(x)
-3.9417,4.0453065890884e-05
-3.9416,4.04699383824299e-05
-3.9415,4.04868175257478e-05
-3.9414,4.05037033232913e-05
-3.9413,4.05205957775149e-05
-3.9412,4.05374948908735e-05
-3.9411,4.05544006658234e-05
-3.941,4.05713131048214e-05
-3.9409,4.05882322103252e-05
-3.9408,4.06051579847932e-05
-3.9407,4.06220904306848e-05
-3.9406,4.06390295504603e-05
-3.9405,4.06559753465807e-05
-3.9404,4.06729278215078e-05
-3.9403,4.06898869777045e-05
-3.9402,4.0706852817634e-05
-3.9401,4.07238253437612e-05
-3.94,4.07408045585508e-05
-3.9399,4.07577904644692e-05
-3.9398,4.07747830639831e-05
-3.9397,4.07917823595603e-05
-3.9396,4.08087883536695e-05
-3.9395,4.08258010487801e-05
-3.9394,4.08428204473621e-05
-3.9393,4.08598465518867e-05
-3.9392,4.0876879364826e-05
-3.9391,4.08939188886526e-05
-3.939,4.09109651258403e-05
-3.9389,4.09280180788632e-05
-3.9388,4.0945077750197e-05
-3.9387,4.09621441423176e-05
-3.9386,4.0979217257702e-05
-3.9385,4.0996297098828e-05
-3.9384,4.10133836681743e-05
-3.9383,4.10304769682204e-05
-3.9382,4.10475770014467e-05
-3.9381,4.10646837703341e-05
-3.938,4.10817972773651e-05
-3.9379,4.10989175250222e-05
-3.9378,4.11160445157892e-05
-3.9377,4.11331782521506e-05
-3.9376,4.11503187365919e-05
-3.9375,4.11674659715994e-05
-3.9374,4.11846199596601e-05
-3.9373,4.12017807032619e-05
-3.9372,4.12189482048936e-05
-3.9371,4.12361224670448e-05
-3.937,4.1253303492206e-05
-3.9369,4.12704912828686e-05
-3.9368,4.12876858415244e-05
-3.9367,4.1304887170667e-05
-3.9366,4.13220952727897e-05
-3.9365,4.13393101503874e-05
-3.9364,4.13565318059557e-05
-3.9363,4.13737602419909e-05
-3.9362,4.13909954609903e-05
-3.9361,4.1408237465452e-05
-3.936,4.14254862578747e-05
-3.9359,4.14427418407586e-05
-3.9358,4.1460004216604e-05
-3.9357,4.14772733879125e-05
-3.9356,4.14945493571863e-05
-3.9355,4.15118321269288e-05
-3.9354,4.15291216996439e-05
-3.9353,4.15464180778364e-05
-3.9352,4.15637212640121e-05
-3.9351,4.15810312606775e-05
-3.935,4.15983480703401e-05
-3.9349,4.16156716955082e-05
-3.9348,4.1633002138691e-05
-3.9347,4.16503394023981e-05
-3.9346,4.16676834891408e-05
-3.9345,4.16850344014305e-05
-3.9344,4.17023921417798e-05
-3.9343,4.1719756712702e-05
-3.9342,4.17371281167115e-05
-3.9341,4.17545063563233e-05
-3.934,4.17718914340534e-05
-3.9339,4.17892833524184e-05
-3.9338,4.18066821139362e-05
-3.9337,4.18240877211251e-05
-3.9336,4.18415001765046e-05
-3.9335,4.18589194825948e-05
-3.9334,4.18763456419169e-05
-3.9333,4.18937786569928e-05
-3.9332,4.1911218530345e-05
-3.9331,4.19286652644975e-05
-3.933,4.19461188619745e-05
-3.9329,4.19635793253015e-05
-3.9328,4.19810466570047e-05
-3.9327,4.19985208596111e-05
-3.9326,4.20160019356485e-05
-3.9325,4.2033489887646e-05
-3.9324,4.20509847181329e-05
-3.9323,4.20684864296398e-05
-3.9322,4.2085995024698e-05
-3.9321,4.21035105058398e-05
-3.932,4.21210328755981e-05
-3.9319,4.21385621365071e-05
-3.9318,4.2156098291101e-05
-3.9317,4.21736413419161e-05
-3.9316,4.21911912914885e-05
-3.9315,4.22087481423556e-05
-3.9314,4.22263118970557e-05
-3.9313,4.22438825581277e-05
-3.9312,4.22614601281119e-05
-3.9311,4.22790446095486e-05
-3.931,4.22966360049797e-05
-3.9309,4.23142343169478e-05
-3.9308,4.2331839547996e-05
-3.9307,4.23494517006688e-05
-3.9306,4.23670707775113e-05
-3.9305,4.23846967810692e-05
-3.9304,4.24023297138896e-05
-3.9303,4.241996957852e-05
-3.9302,4.2437616377509e-05
-3.9301,4.2455270113406e-05
-3.93,4.24729307887613e-05
-3.9299,4.2490598406126e-05
-3.9298,4.25082729680522e-05
-3.9297,4.25259544770925e-05
-3.9296,4.25436429358011e-05
-3.9295,4.25613383467322e-05
-3.9294,4.25790407124413e-05
-3.9293,4.25967500354849e-05
-3.9292,4.26144663184199e-05
-3.9291,4.26321895638048e-05
-3.929,4.26499197741981e-05
-3.9289,4.26676569521597e-05
-3.9288,4.26854011002504e-05
-3.9287,4.27031522210316e-05
-3.9286,4.27209103170656e-05
-3.9285,4.2738675390916e-05
-3.9284,4.27564474451464e-05
-3.9283,4.27742264823223e-05
-3.9282,4.27920125050093e-05
-3.9281,4.28098055157741e-05
-3.928,4.28276055171844e-05
-3.9279,4.28454125118086e-05
-3.9278,4.2863226502216e-05
-3.9277,4.28810474909771e-05
